numero,id,marca,modelo,año_modelo,millaje,tipo_combustible,motor,transmisión,color_exterior,color_interior,accidente,sin_daños,precio
0,110194,Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,36000,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,
1,142582,Mercedes-Benz,EQS 450+ Base,2017,66000,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,
2,21646,Tesla,Model X Long Range Plus,2019,55000,Gasoline,425.0HP Electric Motor Electric Fuel System,2-Speed A/T,Blue,Black,None reported,Yes,
3,47341,Ford,Bronco Outer Banks Advanced,2022,16500,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,
4,60583,GMC,Sierra 1500 SLE Crew Cab,2006,215000,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,
5,104481,BMW,M4 Competition xDrive,2023,3500,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,
6,38074,Acura,TL 3.7,2011,148816,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,
7,76561,Mazda,MX-5 Miata Club,2022,20561,Gasoline,181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,
8,118833,Tesla,Model S 100D,2018,51850,,518.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,
9,2540,Dodge,Challenger SRT Hellcat,2016,10500,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
10,10862,Audi,e-tron Prestige,2019,63295,,Electric,1-Speed Automatic,Typhoon Gray Metallic,Macchiato,None reported,,
11,155116,Nissan,NV Passenger NV3500 HD SV V8,2015,122000,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,
12,46506,Land,Rover Range Rover Velar P380 S,2012,149000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,White,None reported,Yes,
13,14096,Ford,Expedition Max Limited,2020,45000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
14,94606,Ford,F-150 Lariat,2018,81000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
15,174122,Lincoln,MKZ Base,2015,100000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,
16,164635,Chevrolet,Corvette Base,1998,161000,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,
17,121221,Ford,Mustang GT Premium,2014,109357,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,
18,104215,Hyundai,Sonata Hybrid Base,2009,90000,Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
19,169295,Lexus,GX 470 Base,2004,167000,Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,
20,110871,Jaguar,F-TYPE,2022,6640,Gasoline,3.0 Liter,Automatic,Santorin Black,Black,None reported,,
21,50485,Chevrolet,Suburban LT,2016,91700,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,
22,15855,INFINITI,QX60 Base,2018,55000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Blue,Black,None reported,Yes,
23,5025,Jeep,Liberty Sport,2008,141485,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,
24,94454,Mercedes-Benz,SL-Class SL500 Roadster,2012,80000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Red,None reported,Yes,
25,96843,Lexus,LS 460 L,2007,99769,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,
26,24315,Ford,F-150 XLT,2019,53500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Gray,None reported,Yes,
27,132345,Maserati,GranTurismo Sport,2014,12800,Gasoline,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Purple,Gray,At least 1 accident or damage reported,Yes,
28,122142,Toyota,Sequoia Platinum,2023,1240,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Brown,Black,,,
29,68059,Ford,Mustang Shelby GT500,2018,51300,Gasoline,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Red,None reported,Yes,
30,26376,BMW,535 i xDrive,2010,122000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,
31,46088,Ford,Explorer XLT,2022,10400,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,
